x, y
-14.954954954954955, 0.9999772727272728
-9.90990990990991, 1.0000795454545455
-4.864864864864865, 1.0001477272727273
0.18018018018018012, 0.9999431818181819
4.936936936936938, 0.9999772727272728
10.126126126126128, 0.9999772727272728
15.027027027027025, 0.9998068181818182
20.216216216216218, 0.9998068181818182
24.972972972972975, 0.9998068181818182
30.01801801801802, 0.9998409090909091
35.207207207207205, 1.0001818181818183
40.108108108108105, 1.001068181818182
45.009009009009006, 1.0027386363636364
49.765765765765764, 1.0049204545454546
55.38738738738739, 1.0065227272727273
60.14414414414415, 1.004
